Slug,Name,Town,Map
mill-pond,Mill Pond,Harwich,https://www.mass.gov/files/documents/2019/03/15/MillHarwich.pdf
monoponsett-lakes,Monoponsett Lakes,Halifax,https://www.mass.gov/files/documents/2016/08/no/dfwmonpo.pdf
moore-lake,Moore Lake,Warwick,https://www.mass.gov/files/documents/2016/08/uw/dfwmoore.pdf
moosehorn-pond,Moosehorn Pond,Hubbardston,https://www.mass.gov/files/documents/2016/08/qd/dfwmoose.pdf
mystic-lake-middle-pond,Mystic Lake Middle Pond,Barnstable,https://www.mass.gov/files/documents/2019/02/01/mysticmiddle.pdf
nabasset-pond,Nabasset Pond,Westford,https://www.mass.gov/files/documents/2019/02/20/nabnasset.pdf
nashawanuck-pond,Nashawanuck Pond,Easthampton,https://www.mass.gov/files/documents/2016/08/ux/dfwnasha.pdf
newfield-pond,Newfield Pond,Chelmsford,https://www.mass.gov/files/documents/2016/08/np/dfwnewfi.pdf
nine-mile-pond,Nine Mile Pond,Wilbraham,https://www.mass.gov/files/documents/2016/08/wu/dfwninem.pdf
nipmuc-pond,Nipmuc Pond,Mendon,https://www.mass.gov/files/documents/2018/02/05/nipmuc.pdf
north-pond,North Pond,Florida,https://www.mass.gov/files/documents/2016/08/qd/dfwnorth.pdf
north-pond,North Pond,Hopkinton,https://www.mass.gov/files/documents/2019/01/04/north_hopkinton.pdf
norton-reservoir,Norton Reservoir,Norton,https://www.mass.gov/doc/norton-reservoir-0/download
norwich-pond,Norwich Pond,Huntington,https://www.mass.gov/files/documents/2016/08/wi/dfwnorwi.pdf
nutting-lake,Nutting Lake,Billerica,https://www.mass.gov/files/documents/2016/08/xd/dfwnutti.pdf
oldham-pond,Oldham Pond,Pembroke,https://www.mass.gov/files/documents/2016/08/sf/dfwoldham.pdf
onota-lake,Onota Lake,Pittsfield,https://www.mass.gov/files/documents/2018/02/05/Onota_lake.pdf
otis-reservoir,Otis Reservoir,Otis,https://www.mass.gov/doc/otis-reservoir/download
paradise-pond,Paradise Pond,Princeton,https://www.mass.gov/doc/paradise-pond/download
pelham-lake,Pelham Lake,Rowe,https://www.mass.gov/files/documents/2016/08/no/dfwpelha.pdf
pentucket-pond,Pentucket Pond,Georgetown,https://www.mass.gov/files/documents/2019/02/14/pentuckgeorgtwn.pdf
peters-pond,Peters Pond,Sandwich,https://www.mass.gov/files/documents/2018/02/21/peters_pond.pdf
pilgram-lake,Pilgram Lake,Orleans,https://www.mass.gov/files/documents/2016/08/rr/dfwcrys.pdf
pillings-pond,Pillings Pond,Lynnfield,https://www.mass.gov/files/documents/2016/08/xe/dfwpilli.pdf
pimlico-pond,Pimlico Pond,Sandwich,https://www.mass.gov/files/documents/2016/08/qd/dfwpimli.pdf
plainfield-pond,Plainfield Pond,Plainfield,https://www.mass.gov/files/documents/2016/08/tm/dfwplain.pdf
pleasant-pond,Pleasant Pond,Wenham,https://www.mass.gov/files/documents/2019/03/15/pleasantpond.pdf
plunkett-reservoir,Plunkett Reservoir,Hinsdale,https://www.mass.gov/files/documents/2016/08/np/dfwplunk.pdf
pomps-pond,Pomps Pond,Andover,https://www.mass.gov/files/documents/2016/08/tm/dfwpomps.pdf
ponkapoag-pond,Ponkapoag Pond,Randolph,https://www.mass.gov/files/documents/2016/08/wi/dfwponka.pdf
pontoosuc-lake,Pontoosuc Lake,Lanesborough,https://www.mass.gov/files/documents/2018/01/03/Pontoosuc.pdf
pratt-pond,Pratt Pond,Upton,https://www.mass.gov/files/documents/2016/10/no/dfwpratt.pdf
prospect-hill-pond,Prospect Hill Pond,Taunton,https://www.mass.gov/files/documents/2016/08/wi/dfwprosp.pdftarget=_blank
puffers-pond,Puffers Pond,Amherst,https://www.mass.gov/doc/puffers-pond/download
putnamville-reservoir,Putnamville Reservoir,Danvers,https://www.mass.gov/files/documents/2016/08/uw/dfwputna.pdf
quaboag-pond,Quaboag Pond,Brookfield,https://www.mass.gov/files/documents/2016/08/np/dfwquabo.pdf
quacumquasit-south,Quacumquasit South,East Brookfield,https://www.mass.gov/files/documents/2018/02/05/south_pond.pdf
